Name,Name,Image name
Alfa Romeo,Alfa Romeo,
Audi,Audi,
BMW,BMW,
Chery,Chery,
Chevrolet,Chevrolet,
Citroen,Citroen,
Daewoo,Daewoo,
Daimler Chrysler,Daimler Chrysler,
Dodge,Dodge,
Fiat,Fiat,
Ford,Ford,
General Motors,General Motors,
Honda,Honda,
Hyundai,Hyundai,
Isuzu,Isuzu,
Jaguar,Jaguar,
Jeep,Jeep,
Kia Motors,Kia Motors,
Lada,Lada,
Land Rover,Land Rover,
Lexus,Lexus,
Mazda,Mazda,
Mercedes Benz,Mercedes Benz,
Mitsubishi,Mitsubishi,
Nissan,Nissan,
Opel,Opel,
Peugeot,Peugeot,
Porsche,Porsche,
Renault,Renault,
Saab,Saab,
Seat,Seat,
Subaru,Subaru,
Suzuki,Suzuki,
Toyota,Toyota,
Volkswagen,Volkswagen,
Volvo,Volvo,